source_schema
ym-iot
ym-sf
ym-test
target_schema	existing_tables
ym_agriculture_rehearsal_1	0
ym_iot_rehearsal_1	0
TABLE_SCHEMA	TABLE_NAME	TABLE_ROWS
ym-iot	domain_job_execution_log	0
ym-iot	iot_alert_record	448
ym-iot	iot_alert_rule	9
ym-iot	iot_data_point	1200
ym-iot	iot_device	30
ym-iot	iot_device_log	0
ym-iot	iot_device_tag	7
ym-iot	iot_fertilizer_control_log	130
ym-iot	iot_fertilizer_record	41
ym-iot	iot_hfzk_user_device	35
ym-iot	iot_isup_alarm_event	0
ym-iot	iot_isup_capture_record	0
ym-iot	iot_isup_config	0
ym-iot	iot_isup_stream_record	0
ym-iot	iot_motorvalve_control_log	346
ym-iot	iot_motorvalve_valve_session	154
ym-iot	iot_product	8
ym-iot	iot_product_property	78
ym-sf	sf_ai_customer_binding	15
ym-sf	sf_ai_inference_log	795
ym-sf	sf_analysis_result	0
ym-sf	sf_analysis_task	0
ym-sf	sf_asset_device	17
ym-sf	sf_asset_type	3
ym-sf	sf_asset_usage_log	31
ym-sf	sf_crawler_error	0
ym-sf	sf_crawler_market_error	0
ym-sf	sf_crawler_market_quote_state	131
ym-sf	sf_crawler_market_receipt_state	218
ym-sf	sf_crawler_market_run	3
ym-sf	sf_crawler_market_submission_outbox	131
ym-sf	sf_crawler_receipt_state	19
ym-sf	sf_crawler_run	41
ym-sf	sf_crawler_scheduler_state	2
ym-sf	sf_crawler_schema_version	6
ym-sf	sf_crawler_source_event_outbox	4
ym-sf	sf_crawler_submission_outbox	12
ym-sf	sf_crawler_url_state	5
ym-sf	sf_crop_species	391
ym-sf	sf_crop_species_template	44
ym-sf	sf_crop_variety	396
ym-sf	sf_crop_variety_template	44
ym-sf	sf_farm_work_assignment	147
ym-sf	sf_farm_work_dict	504
ym-sf	sf_farm_work_dict_template	47
ym-sf	sf_farming_record	83
ym-sf	sf_farming_record_field	388
ym-sf	sf_farming_record_media	558
ym-sf	sf_farming_record_type	0
ym-sf	sf_farming_record_work_item	150
ym-sf	sf_field	478
ym-sf	sf_field_iot	4
ym-sf	sf_greenhouse_layout	2
ym-sf	sf_greenhouse_layout_column	31
ym-sf	sf_greenhouse_layout_item	253
ym-sf	sf_i18n_text	549
ym-sf	sf_inspection_ai_context_summary	0
ym-sf	sf_inspection_ai_conversation	22
ym-sf	sf_inspection_ai_message	117
ym-sf	sf_inspection_ai_message_photo	41
ym-sf	sf_inspection_photo_archive	8
ym-sf	sf_inspection_photo_archive_field	292
ym-sf	sf_inspection_photo_archive_photo	54
ym-sf	sf_inventory_balance	3
ym-sf	sf_inventory_business_sequence	12
ym-sf	sf_inventory_idempotency	13
ym-sf	sf_inventory_inbound_line	5
ym-sf	sf_inventory_inbound_order	5
ym-sf	sf_inventory_ledger	23
ym-sf	sf_inventory_legacy_material_map	0
ym-sf	sf_inventory_material	3
ym-sf	sf_inventory_material_category	3
ym-sf	sf_inventory_operation_log	89
ym-sf	sf_inventory_outbound_line	7
ym-sf	sf_inventory_outbound_order	6
ym-sf	sf_inventory_return_line	8
ym-sf	sf_inventory_return_order	8
ym-sf	sf_inventory_stocktake_line	3
ym-sf	sf_inventory_stocktake_order	3
ym-sf	sf_market_product	25
ym-sf	sf_market_product_mapping	45
ym-sf	sf_market_quote	131
ym-sf	sf_market_quote_ingest_staging	218
ym-sf	sf_market_source	3
ym-sf	sf_media_asset	0
ym-sf	sf_mobile_event_read	0
ym-sf	sf_news_article	0
ym-sf	sf_news_ingest_staging	5
ym-sf	sf_news_media_transfer	0
ym-sf	sf_news_review_log	0
ym-sf	sf_news_revision	0
ym-sf	sf_news_source	5
ym-sf	sf_news_source_event_staging	4
ym-sf	sf_planting_batch	282
ym-sf	sf_planting_batch_log	20
ym-sf	sf_report	0
ym-sf	sf_satellite_schedule	183
ym-sf	sf_satellite_task	1622
ym-sf	sf_satellite_task_result	21212
ym-sf	sf_satellite_task_result_copy1	0
ym-sf	sf_solar_term_definition	24
ym-sf	sf_solar_term_occurrence	72
ym-sf	sf_stask_acceptance	2
ym-sf	sf_stask_badge_integration	0
ym-sf	sf_stask_clock_location	0
ym-sf	sf_stask_clock_record	2
ym-sf	sf_stask_completion	0
ym-sf	sf_stask_dispatch	0
ym-sf	sf_stask_flow_log	35
ym-sf	sf_stask_inspection	1
ym-sf	sf_stask_leader_labor_record	3
ym-sf	sf_stask_material	0
ym-sf	sf_stask_material_adjustment	0
ym-sf	sf_stask_material_allocation	6
ym-sf	sf_stask_material_allocation_line	7
ym-sf	sf_stask_material_receipt	7
ym-sf	sf_stask_material_receipt_line	8
ym-sf	sf_stask_operation_idempotency	0
ym-sf	sf_stask_sop	0
ym-sf	sf_stask_task_material	6
ym-sf	sf_stask_task_package	7
ym-sf	sf_stask_voice_broadcast	10
ym-sf	sf_stask_work_order	9
ym-sf	sf_stask_work_order_greenhouse	9
ym-sf	sf_stask_work_order_item	8
ym-sf	sf_stask_worker_skill	0
ym-sf	sf_stask_yield_record	5
ym-sf	sf_trace_batch	6
ym-sf	sf_trace_code	4966
ym-sf	sf_trace_scan_log	30
ym-sf	sf_uav_ai_task	83
ym-sf	sf_uav_flight_plan	14
ym-sf	sf_uav_flight_plan_execution	108
ym-sf	sf_uav_flight_task	77
ym-sf	sf_uav_media_file	943
ym-sf	sf_uav_workspace_binding	2
ym-sf	sf_weather_alert	1177
ym-sf	sf_weather_alert_sync_meta	3
ym-sf	sf_weather_cache	0
ym-sf	sf_weather_forecast	685
ym-sf	sf_weather_live	374
ym-sf	v_sf_market_quote_ingest_receipt	NULL
ym-sf	v_sf_news_ingest_receipt	NULL
ym-test	sys_client	4
ym-test	sys_config	38
ym-test	sys_dept	20
ym-test	sys_dict_data	238
ym-test	sys_dict_data_copy1	1301
ym-test	sys_dict_type	57
ym-test	sys_dict_type_copy1	339
ym-test	sys_employee	103
ym-test	sys_employee_miniapp_role	12
ym-test	sys_invite_code	54
ym-test	sys_job	11
ym-test	sys_job_log	94490
ym-test	sys_logininfor	4898
ym-test	sys_menu	266
ym-test	sys_notice	0
ym-test	sys_oper_log	7905
ym-test	sys_oss	16536
ym-test	sys_oss_config	0
ym-test	sys_post	4
ym-test	sys_region	3184
ym-test	sys_role	31
ym-test	sys_role_dept	13
ym-test	sys_role_menu	1820
ym-test	sys_social	12
ym-test	sys_tenant	6
ym-test	sys_tenant_access_token	5
ym-test	sys_tenant_dict_data	39
ym-test	sys_tenant_dict_type	3
ym-test	sys_tenant_package	3
ym-test	sys_user	25
ym-test	sys_user_post	0
ym-test	sys_user_role	29
ym-test	sys_user_wechat_bind	17
ym-test	wechat_crop_farmland	0
ym-test	wechat_example	81
ym-test	wechat_service_record	3
ym-test	wechat_session	318
ym-test	wechat_session_record	442
