domain	table_name	source_rows	target_rows	delta
agriculture	sf_ai_customer_binding	15	15	0
agriculture	sf_ai_inference_log	844	844	0
agriculture	sf_asset_device	17	17	0
agriculture	sf_asset_type	3	3	0
agriculture	sf_asset_usage_log	31	31	0
agriculture	sf_crop_species	391	391	0
agriculture	sf_crop_species_template	44	44	0
agriculture	sf_crop_variety	396	396	0
agriculture	sf_crop_variety_template	44	44	0
agriculture	sf_farm_work_assignment	147	147	0
agriculture	sf_farm_work_dict	504	504	0
agriculture	sf_farm_work_dict_template	47	47	0
agriculture	sf_farming_record	124	124	0
agriculture	sf_farming_record_field	388	388	0
agriculture	sf_farming_record_media	558	558	0
agriculture	sf_farming_record_type	0	0	0
agriculture	sf_farming_record_work_item	150	150	0
agriculture	sf_field	478	478	0
agriculture	sf_field_iot	4	4	0
agriculture	sf_greenhouse_layout	2	2	0
agriculture	sf_greenhouse_layout_column	31	31	0
agriculture	sf_greenhouse_layout_item	253	253	0
agriculture	sf_i18n_text	554	554	0
agriculture	sf_inspection_ai_context_summary	0	0	0
agriculture	sf_inspection_ai_conversation	22	22	0
agriculture	sf_inspection_ai_message	117	117	0
agriculture	sf_inspection_ai_message_photo	41	41	0
agriculture	sf_inspection_photo_archive	8	8	0
agriculture	sf_inspection_photo_archive_field	292	292	0
agriculture	sf_inspection_photo_archive_photo	57	57	0
agriculture	sf_inventory_balance	3	3	0
agriculture	sf_inventory_business_sequence	12	12	0
agriculture	sf_inventory_idempotency	14	14	0
agriculture	sf_inventory_inbound_line	5	5	0
agriculture	sf_inventory_inbound_order	5	5	0
agriculture	sf_inventory_ledger	23	23	0
agriculture	sf_inventory_legacy_material_map	0	0	0
agriculture	sf_inventory_material	3	3	0
agriculture	sf_inventory_material_category	4	4	0
agriculture	sf_inventory_operation_log	91	91	0
agriculture	sf_inventory_outbound_line	7	7	0
agriculture	sf_inventory_outbound_order	6	6	0
agriculture	sf_inventory_return_line	8	8	0
agriculture	sf_inventory_return_order	8	8	0
agriculture	sf_inventory_stocktake_line	3	3	0
agriculture	sf_inventory_stocktake_order	3	3	0
agriculture	sf_market_product	25	25	0
agriculture	sf_market_product_mapping	45	45	0
agriculture	sf_market_quote	131	131	0
agriculture	sf_market_quote_ingest_staging	218	218	0
agriculture	sf_market_source	3	3	0
agriculture	sf_media_asset	0	0	0
agriculture	sf_news_article	0	0	0
agriculture	sf_news_ingest_staging	5	5	0
agriculture	sf_news_media_transfer	0	0	0
agriculture	sf_news_review_log	0	0	0
agriculture	sf_news_revision	0	0	0
agriculture	sf_news_source	5	5	0
agriculture	sf_planting_batch	282	282	0
agriculture	sf_planting_batch_log	20	20	0
agriculture	sf_satellite_schedule	183	183	0
agriculture	sf_satellite_task	1697	1697	0
agriculture	sf_satellite_task_result	17958	17958	0
agriculture	sf_solar_term_definition	24	24	0
agriculture	sf_solar_term_occurrence	72	72	0
agriculture	sf_stask_acceptance	2	2	0
agriculture	sf_stask_clock_location	0	0	0
agriculture	sf_stask_clock_record	4	4	0
agriculture	sf_stask_completion	2	2	0
agriculture	sf_stask_dispatch	0	0	0
agriculture	sf_stask_flow_log	37	37	0
agriculture	sf_stask_inspection	1	1	0
agriculture	sf_stask_leader_labor_record	4	4	0
agriculture	sf_stask_material_allocation	7	7	0
agriculture	sf_stask_material_allocation_line	8	8	0
agriculture	sf_stask_material_receipt	7	7	0
agriculture	sf_stask_material_receipt_line	8	8	0
agriculture	sf_stask_operation_idempotency	0	0	0
agriculture	sf_stask_sop	0	0	0
agriculture	sf_stask_task_material	8	8	0
agriculture	sf_stask_task_package	9	9	0
agriculture	sf_stask_voice_broadcast	10	10	0
agriculture	sf_stask_work_order	9	9	0
agriculture	sf_stask_work_order_greenhouse	9	9	0
agriculture	sf_stask_work_order_item	9	9	0
agriculture	sf_stask_worker_skill	0	0	0
agriculture	sf_stask_yield_record	5	5	0
agriculture	sf_trace_batch	6	6	0
agriculture	sf_trace_code	5115	5115	0
agriculture	sf_trace_scan_log	30	30	0
agriculture	sf_uav_ai_task	83	83	0
agriculture	sf_uav_flight_plan	14	14	0
agriculture	sf_uav_flight_plan_execution	108	108	0
agriculture	sf_uav_flight_task	83	83	0
agriculture	sf_uav_media_file	1010	1010	0
agriculture	sf_uav_workspace_binding	2	2	0
agriculture	sf_weather_alert	1194	1194	0
agriculture	sf_weather_alert_sync_meta	3	3	0
agriculture	sf_weather_forecast	689	689	0
agriculture	sf_weather_live	418	418	0
agriculture-identity	sys_employee	103	103	0
agriculture-identity	sys_employee_miniapp_role	12	12	0
agriculture-identity	sys_invite_code	54	54	0
iot	iot_alert_record	509	509	0
iot	iot_alert_rule	9	9	0
iot	iot_data_point	1200	1200	0
iot	iot_device	30	30	0
iot	iot_device_log	0	0	0
iot	iot_device_tag	7	7	0
iot	iot_fertilizer_control_log	130	130	0
iot	iot_fertilizer_record	41	41	0
iot	iot_hfzk_user_device	35	35	0
iot	iot_motorvalve_control_log	346	346	0
iot	iot_motorvalve_valve_session	154	154	0
iot	iot_product	8	8	0
iot	iot_product_property	78	78	0
